"Income Monthly","Monthly Debt","Credit Score","Loan Amount","DTI","Employment Status","Defaults","Loan Status","Loan Period (Months)"
"86059","773","539","1100614","0.9","Employed","No","approved","120"
"113201","50666","540","160753","44.76","Self-Employed","No","approved","180"
"51088","5258","762","1052054","10.29","Self-Employed","No","approved","48"
"193968","11868","620","1086121","6.12","Employed","No","approved","36"
"136184","10377","710","218575","7.62","Self-Employed","No","approved","60"
"171427","26553","778","2511816","15.49","Employed","No","approved","48"
"12120","2995","643","488416","24.71","Employed","No","approved","24"
"38461","21558","672","935254","56.05","Self-Employed","No","approved","24"
"0","0","566","2431772","0","Employed","No","rejected","36"
"41402","14742","464","757363","35.61","Self-Employed","No","rejected","36"
"101613","1984","595","1295953","1.95","Employed","No","approved","48"
"194466","31092","606","1575695","15.99","Employed","No","approved","60"
"146869","52160","585","2464785","35.51","Employed","No","approved","36"
"163593","18815","689","1350467","11.5","Employed","No","approved","120"
"85534","15895","470","389464","18.58","Self-Employed","No","rejected","240"
"124614","71214","671","1001504","57.15","Employed","No","approved","180"
"0","0","496","1557823","0","Employed","No","rejected","12"
"99149","28222","779","882792","28.46","Employed","No","approved","12"
"159092","13694","659","119114","8.61","Self-Employed","No","approved","240"
"54641","12256","809","624486","22.43","Employed","No","approved","24"
"104280","38198","546","239523","36.63","Self-Employed","No","approved","36"
"98293","29644","723","883889","30.16","Employed","No","approved","36"
"0","0","672","1576365","0","Self-Employed","No","rejected","12"
"47238","291","535","108620","0.62","Self-Employed","No","approved","24"
"78354","46082","706","2373798","58.81","Self-Employed","No","approved","48"
"71784","2336","652","577918","3.25","Employed","No","approved","60"
"97908","22348","639","429401","22.83","Self-Employed","No","approved","36"
"64855","28","847","2297400","0.04","Employed","No","approved","12"
"67726","9442","436","1506924","13.94","Employed","No","rejected","60"
"96390","54128","505","2205498","56.16","Self-Employed","No","approved","36"
"134593","21927","576","834022","16.29","Self-Employed","No","approved","120"
"46536","25064","748","1324703","53.86","Self-Employed","No","approved","240"
"88821","39992","561","330797","45.03","Self-Employed","No","approved","240"
"139281","56817","465","1031184","40.79","Employed","No","rejected","24"
"0","0","566","2335840","0","Self-Employed","No","rejected","24"
"85990","17634","796","1640520","20.51","Self-Employed","No","approved","24"
"178075","24781","788","200249","13.92","Self-Employed","No","approved","48"
"143527","14552","449","2304253","10.14","Self-Employed","No","rejected","36"
"151555","29771","451","885167","19.64","Employed","No","rejected","60"
"130085","72113","780","1871042","55.44","Self-Employed","No","approved","240"
"183047","18155","463","1400477","9.92","Self-Employed","No","rejected","60"
"22902","12114","791","152036","52.89","Self-Employed","No","approved","60"
"193228","23030","567","560520","11.92","Employed","No","approved","180"
"132987","16916","492","1247947","12.72","Self-Employed","No","rejected","180"
"0","0","645","2265075","0","Employed","No","rejected","24"
"76376","23433","468","292690","30.68","Employed","No","rejected","12"
"162186","92990","481","1570658","57.34","Employed","No","rejected","12"
"181837","102509","470","2433514","56.37","Self-Employed","No","rejected","180"
"171001","22728","837","837289","13.29","Employed","No","approved","12"
"90694","28149","587","139426","31.04","Employed","No","approved","240"
"205241","1972","724","1036770","0.96","Self-Employed","No","approved","60"
"125110","37772","458","1471618","30.19","Self-Employed","No","rejected","24"
"139309","23674","569","806914","16.99","Employed","No","approved","48"
"0","0","534","1286225","0","Employed","No","rejected","180"
"134506","49950","592","338674","37.14","Self-Employed","No","approved","120"
"45602","23486","810","1048127","51.5","Self-Employed","No","approved","24"
"0","0","705","62535","0","Employed","No","rejected","240"
"55683","14269","437","1557796","25.63","Self-Employed","No","rejected","36"
"50366","10940","669","2227440","21.72","Employed","No","approved","60"
"87974","22047","619","2324937","25.06","Self-Employed","No","approved","60"
"137239","63182","429","2293245","46.04","Self-Employed","No","rejected","60"
"59065","19415","695","1256469","32.87","Employed","No","approved","60"
"8767","2819","751","1824694","32.15","Employed","No","rejected","36"
"59203","24770","705","1584083","41.84","Employed","No","approved","48"
"191500","93746","474","2175344","48.95","Self-Employed","No","rejected","240"
"87925","28573","731","188263","32.5","Self-Employed","No","approved","24"
"142710","14271","758","910282","10","Self-Employed","No","approved","240"
"56388","33829","598","1340033","59.99","Employed","No","approved","12"
"10390","5481","733","1215926","52.75","Employed","No","rejected","240"
"138528","16322","469","2289067","11.78","Self-Employed","No","rejected","60"
"165657","18751","663","1952182","11.32","Self-Employed","No","approved","60"
"139261","67261","577","2317823","48.3","Employed","No","approved","12"
"46921","16832","502","54752","35.87","Employed","No","approved","120"
"0","0","452","778411","0","Employed","No","rejected","60"
"172911","103038","629","2300268","59.59","Employed","No","approved","48"
"90729","38306","595","2492750","42.22","Employed","No","approved","12"
"105248","55677","719","1501540","52.9","Self-Employed","No","approved","60"
"126484","22286","514","903083","17.62","Self-Employed","No","approved","180"
"18674","1065","447","1058184","5.7","Self-Employed","No","rejected","60"
"100534","21180","545","1982409","21.07","Self-Employed","No","approved","240"
"35159","15588","631","1133482","44.34","Employed","No","approved","48"
"155799","4060","668","39580","2.61","Employed","No","approved","120"
"49663","7988","609","2020378","16.08","Employed","No","approved","12"
"93248","27205","688","2206058","29.17","Self-Employed","No","approved","48"
"21970","11968","773","129205","54.47","Employed","No","approved","120"
"0","0","581","765537","0","Employed","No","rejected","24"
"110364","33149","840","64712","30.04","Employed","No","approved","180"
"143313","28175","443","1711142","19.66","Employed","No","rejected","180"
"13885","2542","478","2291324","18.31","Employed","No","rejected","36"
"33221","5072","514","1803456","15.27","Self-Employed","No","approved","120"
"81408","4045","604","1472933","4.97","Employed","No","approved","48"
"56583","31231","610","713723","55.2","Self-Employed","No","approved","48"
"122470","568","769","2454734","0.46","Self-Employed","No","approved","36"
"0","0","715","1850327","0","Employed","No","rejected","48"
"32575","4114","825","24004","12.63","Employed","No","approved","60"
"171413","45713","534","2272830","26.67","Self-Employed","No","approved","12"
"14395","2592","504","909941","18.01","Employed","No","approved","36"
"19537","7802","513","1349754","39.93","Self-Employed","No","approved","12"
"15181","1864","583","2266308","12.28","Employed","No","rejected","36"
"78241","4887","618","1779092","6.25","Employed","No","approved","240"
"48853","16058","822","1481218","32.87","Self-Employed","No","approved","180"
"0","0","775","2140983","0","Employed","No","rejected","24"
"93572","274","733","469891","0.29","Employed","No","approved","120"
"185658","78653","570","2058757","42.36","Self-Employed","No","approved","240"
"115420","20485","642","2404536","17.75","Employed","No","approved","120"
"105435","25091","571","1208656","23.8","Employed","No","approved","12"
"168393","11415","708","1199018","6.78","Employed","No","approved","60"
"107317","20369","720","2485636","18.98","Employed","No","approved","36"
"195844","971","653","715224","0.5","Self-Employed","No","approved","48"
"165262","6134","439","1314048","3.71","Employed","No","rejected","12"
"203185","37330","774","1902122","18.37","Employed","No","approved","24"
"10813","246","754","1129539","2.28","Employed","No","rejected","36"
"0","0","832","1568197","0","Employed","No","rejected","120"
"8510","4633","623","1001819","54.44","Self-Employed","No","rejected","24"
"197725","61478","491","1677338","31.09","Self-Employed","No","rejected","24"
"99252","42559","800","1370092","42.88","Employed","No","approved","120"
